iter	Passed	Remaining
0	152	30253
1	156	15465
2	160	10531
3	164	8072
4	169	6593
5	173	5600
6	177	4892
7	182	4368
8	186	3954
9	190	3622
10	195	3351
11	199	3124
12	203	2927
13	207	2759
14	212	2614
15	216	2486
16	220	2375
17	224	2274
18	229	2186
19	233	2104
20	237	2028
21	241	1957
22	246	1895
23	250	1836
24	254	1784
25	259	1733
26	263	1691
27	268	1648
28	272	1606
29	276	1566
30	280	1530
31	284	1495
32	288	1462
33	293	1431
34	297	1402
35	301	1374
36	305	1347
37	310	1322
38	314	1298
39	318	1274
40	322	1252
41	327	1232
42	331	1211
43	336	1191
44	340	1171
45	344	1153
46	349	1136
47	353	1118
48	357	1102
49	362	1086
50	365	1069
51	369	1052
52	374	1038
53	378	1022
54	382	1007
55	386	993
56	392	984
57	396	971
58	401	958
59	405	946
60	409	933
61	413	921
62	417	908
63	422	897
64	426	886
65	430	874
66	435	863
67	439	853
68	443	842
69	448	832
70	452	822
71	456	811
72	460	801
73	464	791
74	469	782
75	473	772
76	477	763
77	482	754
78	486	745
79	490	735
80	494	726
81	498	718
82	503	709
83	507	700
84	511	692
85	515	683
86	519	675
87	524	667
88	528	658
89	532	650
90	536	643
91	541	635
92	545	628
93	550	620
94	554	612
95	558	605
96	562	597
97	567	590
98	571	582
99	575	575
100	579	568
101	584	561
102	588	553
103	592	546
104	596	540
105	601	533
106	605	525
107	609	518
108	613	512
109	617	505
110	621	498
111	625	491
112	629	484
113	633	478
114	637	471
115	641	464
116	646	458
117	650	452
118	654	445
119	658	439
120	663	433
121	667	426
122	671	420
123	675	414
124	680	408
125	684	401
126	688	395
127	692	389
128	696	383
129	700	377
130	704	370
131	708	365
132	712	359
133	716	352
134	720	346
135	724	341
136	729	335
137	733	329
138	737	323
139	741	317
140	745	312
141	749	306
142	753	300
143	757	294
144	761	288
145	765	283
146	769	277
147	773	271
148	778	266
149	782	260
150	786	255
151	790	249
152	794	244
153	798	238
154	802	233
155	807	227
156	811	222
157	815	216
158	819	211
159	824	206
160	828	200
161	832	195
162	836	189
163	841	184
164	844	179
165	848	173
166	852	168
167	857	163
168	860	157
169	864	152
170	868	147
171	872	142
172	876	136
173	880	131
174	884	126
175	889	121
176	893	116
177	896	110
178	900	105
179	904	100
180	908	95
181	911	90
182	916	85
183	919	79
184	923	74
185	927	69
186	931	64
187	935	59
188	939	54
189	943	49
190	946	44
191	950	39
192	954	34
193	958	29
194	961	24
195	965	19
196	969	14
197	973	9
198	977	4
199	982	0
